Measure Mode: wall_time
Thread ID: 70305355873240
Fiber ID: 70305356236480
Total: 0.383859
Sort by: self_time

 %self      total      self      wait     child     calls  name
 40.53      0.156     0.156     0.000     0.000    10000   IO#write
  4.32      0.288     0.017     0.000     0.272     5627  *Array#each
  3.47      0.013     0.013     0.000     0.000    10000   Integer#chr
  3.21      0.032     0.012     0.000     0.019     9600   TeensyVSender#coordinate_format
  2.93      0.238     0.011     0.000     0.227     2400   Sender#send_line
  2.66      0.010     0.010     0.000     0.000    33648   Array#[]
  2.10      0.008     0.008     0.000     0.000     9600   TeensyVSender#output_message
  1.96      0.017     0.008     0.000     0.010     4800   Point#screen_safe?
  1.62      0.006     0.006     0.000     0.000     9600   Float#to_i
  1.57      0.006     0.006     0.000     0.000     9600   Point#initialize
  1.42      0.032     0.005     0.000     0.026     9884  *Class#new
  1.34      0.014     0.005     0.000     0.009     1600   Point#project
  1.25      0.005     0.005     0.000     0.000    19548   Hash#[]
  1.22      0.045     0.005     0.000     0.040     1001   Array#map
  0.89      0.003     0.003     0.000     0.000    11400   Float#+
  0.80      0.010     0.003     0.000     0.007     1600   Point#rotate_y
  0.70      0.003     0.003     0.000     0.000     9885   <Class::BasicObject>#allocate
  0.67      0.003     0.003     0.000     0.000    11200   Fixnum#*
  0.65      0.003     0.003     0.000     0.000     9625   BasicObject#!
  0.57      0.006     0.002     0.000     0.004     1600   Point#scale
  0.55      0.002     0.002     0.000     0.000     9600   Float#>
  0.54      0.006     0.002     0.000     0.004     1600   Point#translate
  0.52      0.002     0.002     0.000     0.000     9600   Float#<
  0.45      0.002     0.002     0.000     0.000     7212   Fixnum#==
  0.37      0.001     0.001     0.000     0.000     4824   Struct::Geometry#points
  0.36      0.002     0.001     0.000     0.001        1   Psych::Parser#parse
  0.35      0.001     0.001     0.000     0.000     4873   Array#<<
  0.33      0.002     0.001     0.000     0.001     2412   BasicObject#!=
  0.26      0.001     0.001     0.000     0.000     3200   Math#sin
  0.25      0.001     0.001     0.000     0.000     3200   Float#-
  0.24      0.001     0.001     0.000     0.000     3200   Math#cos
  0.24      0.008     0.001     0.000     0.007      200   TeensyVSender#transmit_instruction_length
