Measure Mode: wall_time
Thread ID: 70262582361040
Fiber ID: 70262587614800
Total: 14.144686
Sort by: self_time

 %self      total      self      wait     child     calls  name
 40.95      5.793     5.793     0.000     0.000   480400   IO#write
  4.59     11.577     0.649     0.000    10.928   260427  *Array#each
  4.45      1.393     0.630     0.000     0.763   480000   TeensyVSender#coordinate_format
  3.64      0.515     0.515     0.000     0.000   480400   Integer#chr
  3.63      0.514     0.514     0.000     0.000  1680048   Array#[]
  3.51      9.493     0.496     0.000     8.997   120000   Sender#send_line
  2.76      0.866     0.390     0.000     0.475   240000   Point#screen_safe?
  2.05      0.289     0.289     0.000     0.000   480000   Point#initialize
  2.02      0.285     0.285     0.000     0.000   480000   TeensyVSender#output_message
  1.76      1.307     0.250     0.000     1.057   490084  *Class#new
  1.76      0.786     0.249     0.000     0.536    80000   Point#project
  1.75      0.248     0.248     0.000     0.000   480000   Float#to_i
  1.62      0.230     0.230     0.000     0.000   970148   Hash#[]
  1.50      2.332     0.212     0.000     2.120    50001   Array#map
  1.33      0.188     0.188     0.000     0.000   560200   Float#+
  1.16      0.165     0.165     0.000     0.000   490085   <Class::BasicObject>#allocate
  1.11      0.157     0.157     0.000     0.000   560000   Fixnum#*
  1.01      0.562     0.143     0.000     0.419    80000   Point#rotate_y
  0.73      0.342     0.103     0.000     0.239    80000   Point#translate
  0.71      0.100     0.100     0.000     0.000   480000   Float#<
  0.71      0.311     0.100     0.000     0.211    80000   Point#scale
  0.69      0.098     0.098     0.000     0.000   480025   BasicObject#!
  0.68      0.097     0.097     0.000     0.000   480000   Float#>
  0.53      0.076     0.076     0.000     0.000   360012   Fixnum#==
  0.47      0.067     0.067     0.000     0.000   160000   Math#cos
  0.46      0.065     0.065     0.000     0.000   160000   Float#/
  0.46      0.065     0.065     0.000     0.000   160000   Float#-
  0.43      0.061     0.061     0.000     0.000   160000   Float#*
  0.42      0.060     0.060     0.000     0.000   240073   Array#<<
  0.42      0.059     0.059     0.000     0.000   160000   Math#sin
  0.35      0.050     0.050     0.000     0.000   240024   Struct::Geometry#points
  0.29      0.040     0.040     0.000     0.000    10001   Array#+
  0.28      0.062     0.039     0.000     0.022   120012   BasicObject#!=
  0.16      0.022     0.022     0.000     0.000   120212   Array#length
  0.13      0.019     0.019     0.000     0.000    80000   Fixnum#-
  0.12      0.017     0.017     0.000     0.000    80001   Fixnum#+
  0.11      0.678     0.016     0.000     0.663    10000   Glyph#initialize
  0.09      0.366     0.012     0.000     0.354    10000   Glyph#scale
  0.07      0.394     0.009     0.000     0.384    10000   Glyph#translate
  0.06      0.614     0.009     0.000     0.605    10000   Glyph#rotate_y
  0.06      0.290     0.008     0.000     0.281    10000   Glyph#instructions
  0.05      0.007     0.007     0.000     0.000    20000   Struct#[]
  0.05      0.704     0.007     0.000     0.696    10000   <Class::Glyph>#new_from_model
  0.05      0.839     0.007     0.000     0.832    10000   Glyph#project
  0.05      0.498     0.007     0.000     0.492    10001   Struct::Geometry#valid?
  0.03      0.004     0.004     0.000     0.000    10000   <Module::Ivan>#default_focal_length
  0.02      0.002     0.002     0.000     0.000    10001   Struct::Geometry#lines
  0.02      0.021     0.002     0.000     0.019      200   TeensyVSender#transmit_instruction_length
  0.01      0.002     0.001     0.000     0.001        1   Psych::Parser#parse
  0.01      9.726     0.001     0.000     9.725      201   Enumerable#each_slice
  0.01     14.108     0.001     0.000    14.107      201  *Integer#times
  0.01     10.828     0.001     0.000    10.827      200   Sender#send_buffer
  0.01      0.030     0.001     0.000     0.029       46  *Kernel#require
  0.01      0.001     0.001     0.000     0.000      508   Regexp#===
  0.00      0.001     0.001     0.000     0.000      400   Integer#to_i
  0.00      0.022     0.001     0.000     0.021      200   TeensyVSender#pre_send_buffer
  0.00      0.000     0.000     0.000     0.000        1   <Class::SerialPort>#create
  0.00      0.032     0.000     0.000     0.032        7  *Kernel#require_relative
  0.00      0.000     0.000     0.000     0.000       92   IO#set_encoding
  0.00      0.001     0.000     0.000     0.001       50   Psych::ScalarScanner#tokenize
  0.00      1.082     0.000     0.000     1.082      200   Sender#check_safe
  0.00      0.000     0.000     0.000     0.000      400   Fixnum#&
  0.00      0.000     0.000     0.000     0.000      511   Module#method_added
  0.00      0.000     0.000     0.000     0.000       52   String#gsub
  0.00      0.000     0.000     0.000     0.000      200   Fixnum#/
  0.00      0.000     0.000     0.000     0.000       28   Module#attr_accessor
  0.00      0.000     0.000     0.000     0.000        3   Module#class_eval
  0.00      0.000     0.000     0.000     0.000       50   Psych::Nodes::Scalar#initialize
  0.00      0.001     0.000     0.000     0.001       50   Psych::Visitors::ToRuby#deserialize
  0.00      0.000     0.000     0.000     0.000      200   Fixnum#>>
  0.00      0.000     0.000     0.000     0.000        1   SerialPort#set_modem_params
  0.00      0.000     0.000     0.000     0.000        1   <Class::IO>#read
  0.00      0.000     0.000     0.000     0.000       50   Psych::TreeBuilder#scalar
  0.00      0.000     0.000     0.000     0.000       73   Psych::Visitors::ToRuby#register
  0.00      0.000     0.000     0.000     0.000       22   Psych::Nodes::Sequence#initialize
  0.00      0.000     0.000     0.000     0.000        3   Module#remove_method
  0.00      0.000     0.000     0.000     0.000        8   Module#attr_reader
  0.00      0.000     0.000     0.000     0.000        1   <Class::Psych::Parser>#allocate
  0.00     14.145     0.000     0.000    14.145        2   Global#[No method]
  0.00      0.001     0.000     0.000     0.001       50   Psych::Visitors::ToRuby#visit_Psych_Nodes_Scalar
  0.00      0.000     0.000     0.000     0.000       93   Array#push
  0.00      0.000     0.000     0.000     0.000       48   String#count
  0.00      0.000     0.000     0.000     0.000       45   String#===
